School Code,School Name,Number of Test-Takers,Reading Average,Writing Average,Math Average,Total Average
402,Benjamin Banneker HS,169,492,500,506,1498
442,Columbia Heights EC (CHEC),393,353,351,354,1058
450,Anacostia HS,204,309,307,327,942
452,Ballou HS,191,321,315,328,964
454,Cardozo EC,136,338,331,347,1015
455,Coolidge HS,153,338,340,344,1023
457,Eastern HS,388,349,339,346,1034
458,McKinley Technology HS,307,430,419,443,1291
459,Roosevelt HS @ MacFarland,156,328,315,328,972
462,Ballou STAY,19,303,276,308,887
463,Woodrow Wilson HS,591,499,486,490,1475
464,"Woodson, H.D. HS",271,315,297,320,933
466,School Without Walls HS,282,608,579,590,1777
467,Dunbar HS,224,331,324,336,990
471,Ellington School of the Arts,257,452,436,426,1314
474,Washington Metropolitan HS,33,291,274,285,849
478,Phelps ACE HS,94,361,362,370,1093
884,Luke Moore Alternative HS,108,293,288,302,882
DCPS,District,3986,398,389,398,1186
